rpid,点赞数量,用户,性别,等级,评论内容,发布时间
5254416578,273,翻了脸的逗逼,男,5,这街上太拥挤太多人有秘密玻璃上有雾气在被隐藏起过去你脸上的情绪在还原那场雨这巷弄太过弯曲走不回故事里这日子不再绿又斑驳了几句剩下搬空回忆的我在大房子里电影院的座椅隔遥远的距离感情没有对手戏你跟自己下棋还来不及仔仔细细写下你的关于描述我如何爱你你却微笑的离我而去这感觉 已经不对我努力在挽回一些些应该体贴的感觉我没给你嘟嘴许的愿望很卑微在妥协是我忽略 你不过要人陪这感觉已经不对我最后才了解一页页不忍翻阅的情节你好累你默背为我掉过几次泪多憔悴而我心碎你受罪你的美我不配这街上太拥挤太多人有秘密玻璃上有雾气在被隐藏起过去你脸上的情绪在还原那场雨这巷弄太过弯曲走不回故事里这日子不再绿又斑驳了几句剩下搬空回忆的我在大房子里电影院的座椅隔遥远的距离感情没有对手戏你跟自己下棋还来不及仔仔细细写下你的关于描述我如何爱你你却微笑的离我而去这感觉 已经不对我努力在挽回一些些应该体贴的感觉我没给你嘟嘴许的愿望很卑微在妥协是我忽略 你不过要人陪这感觉已经不对我最后才了解一页页不忍翻阅的情节你好累你默背为我掉过几次泪多憔悴而我心碎你受罪你的美我不配这感觉 已经不对我努力在挽回一些些应该体贴的感觉我没给你嘟嘴许的愿望很卑微在妥协是我忽略 你不过要人陪这感觉已经不对我最后才了解一页页不忍翻阅的情节你好累你默背为我掉过几次泪多憔悴而我心碎你受罪你的美我不配,471天前发布
4963353988,1410,山东精神病院张院长,保密,5,nb，预计播放量最少过百万,505天前发布
5387768179,348,妖妖鈴鈴,男,6,以为是华语歌坛终于要雄起了。谁知那时居然是巅峰。庆幸自己刚好是那个年代的人，最单纯的追星。不像现在什么牛鬼蛇神都能出来抛头露面了。,452天前发布
5149629451,1320,jay1313133,保密,6,最近有把《不能说的秘密》《天台爱爱情》电影里的音乐也加到合集里的想法，大家觉得好不？,483天前发布
4968755337,256,_烏_,保密,5,这个版本有Mojito不多说了赶紧缓存转换格式+提取音频[热词系列_你币有了],504天前发布
4965445802,1004,爱舞蹈的boy,保密,5,这个后台播放，加这个画质，我直接的三连！！！,505天前发布
5013141467,811,给浅柠倒一杯卡布奇诺,男,5,如果我孩子喜欢的是周杰伦，我很放心，只要他跟我开口欧讲要去看杰伦的演唱会我会出钱带他去看,499天前发布
5077927256,283,一只小鹅叽,保密,3,有人跟我一样最喜欢《可爱女人》嘛[tv_坏笑],491天前发布
110926452864,271,不能秃头的皮皮丘,保密,5,朋友们小窗模式，手机黑屏也可以听！！！！,225天前发布
4970390444,768,最后一首歌叫轨迹,男,5,就差个随机播放功能了,504天前发布
5055065204,657,P站常驻人口,保密,4,昆凌——华语乐坛终结者,494天前发布
5286663833,325,科技团团长我不是爱神,男,6,当初我喜欢唱周杰伦的歌 40多首几乎都会把歌词背下来，每次和同学们去ktv的时候同学们都说我唱的什么jb，周杰伦的歌难听又难懂。后来上大学了，同学们个个给我道歉，说我唱得好听。是我们有眼不识泰山,467天前发布
4970557998,909,Cornelius盼夏,保密,5,《关于我为何收藏了两个周杰伦歌曲全集MV却还要收藏此全集》,504天前发布
4970708808,211,EASON1236,保密,5,我落泪情绪零碎,504天前发布
4966574576,543,红与黑123321,保密,5,用年轻时的音色唱最近几年出的歌是不是就不会有人说江郎才尽了,505天前发布
4973200538,189,青椒汉堡,保密,5,我本来就在安心写作业，同班女同学叫陈瑶给我打电话，很兴奋的说有个歌手出了打篮球的歌！快去听。那时初二，时间泛黄。现在自己女儿也快到这个年纪。,504天前发布
5134532890,617,一生精业的顾雍,男,3,骚年，容我推荐你我喜欢听的几首1《龙卷风》2《简单爱》3《双截棍》4《安静》5《晴天》6《东风破》7《七里香》8《夜曲》9《一路向北》10《霍元甲》11《听妈妈的话》12《菊花台》13《牛仔很忙》14《青花瓷》15《蒲公英的约定》16《甜甜的》17《最长的电影》18《给我一首歌的时间》19《说好的幸福呢》20《稻香》21《烟花易冷》22《告白气球》23《你算什么男人》24《红尘客栈》,484天前发布
112994488528,115,jay1313133,保密,6,有需要JAY的 MP3，MV的朋友可以+威：jay1313133you 偿的哦 6     《周杰伦歌曲全集》包括高清音质MP3格式，无损音质FLAC格式。里面有Mojito.可以把歌曲下载到手机或电脑。可以恢复网易云音乐，QQ音乐，咪咕音乐等等播放，同步歌词，歌词和画面。    《周杰伦MV全集》有本视频所有mv.也包含了Mojito高清MP4。后续准备把演唱会也更新进去。,208天前发布
5107153774,183,FallenVirgil,保密,5,所以杰伦忘词真的不能怪他，近两百首作品，风格不一样，词又难背，谁记得住,487天前发布
107824441872,516,众人皆皮吾独秀,男,5,周杰伦的歌也就前奏能听听[辣眼睛]，后面的没会员听不下去,250天前发布
5503560195,214,bili_19864170105,保密,5,我的最爱不分先后1.夜曲2.布拉格广场3.止战之殇4.夜的第七章5.稻香6.七里香8.告白气球9.彩虹10.等你下课11.漂移12.四面楚歌13.青花瓷14.菊花台15.发如雪16.烟花易冷17.告白气球18.等你下课19.鞋子特大号20.以父之名[脱单doge],433天前发布
5106284200,427,谔谔啊,男,5,无伦是几零后，只要你喜欢周杰伦那我们就是好朋友了[拥抱][拥抱],487天前发布
4967612723,172,我们的star1998,保密,6,不敢投币只能默默关注杰迷[支持],505天前发布
4968981296,551,爷没青,保密,3,唉，不敢点赞，也不敢投币，怎么默默点个收藏啦 ，大家点个收藏就好，不要点赞和投币，不要让官方发现,504天前发布
