rpid,点赞数量,用户,性别,等级,评论内容,发布时间
142804242336,1,乙ね,保密,5,真的很厉害啊…..对几千个字进行设计和微调，这工作量真的不敢想。真的太厉害了….不仅要设计还得微调几千个不同的字，但凡自己有过一点这方面的经历都能立马感受到几乎无限次微调的头大感…而且还开源，真的值得我们尊敬了[嘉然_点赞],5天前发布
142681166560,1,热心的邓同学,男,3,支持作者的精神，第一次投币,6天前发布
142472897536,1,最接近神的猫,男,4,大佬做中文字体真的很不容易，我有个广美的同学，给某正做字体的兼职，他负责设计，一套也设计了一年多了，真的很辛苦，很不容易，佩服！大佬有没有出一套教程，讲讲如何做字体，你会用到哪些字体设计软件来设计？流程怎么样的？希望有个小白课程,7天前发布
142159515472,1,松野家的离轩,男,6,感谢up付出！提个小建议吧，日文假名虽然得意黑都有收录，但是一些繁体和日文汉字得意黑并不支持。比如，場合的场字，看的就会很难受,9天前发布
142043673072,1,被动是净化的阿库娅,男,5,可以开放一个生僻字收纳区，我们使用字体的人，平常遇到的生僻字或没有包含的字体的时候，可以根据字体的设计逻辑修改后增添进去来完善字库。这样也许能减少你们的工作量，也让受益者在使用这款开源字体的时候有参与感[脱单doge][doge][doge][妙啊],10天前发布
142039352144,1,one_delop,保密,5,太牛了、,10天前发布
141883065696,1,草草草草草方块,男,5,为了这个字体能在openGL里用专门搓了个TTF渲染器[滑稽],11天前发布
141875575984,1,_404_用户不存在,男,3,霞鹜臻楷nb,11天前发布
141381266544,1,LUOLY8713,男,4,太强了，支持支持[打call][打call][打call][打call],14天前发布
141308577904,1,一夜鱼龙橆,保密,5,嗨嗨嗨，已经投币补票了[喜欢][喜欢],15天前发布
141142785952,1,海野夏向,保密,6,太棒了👏,16天前发布
141131650368,1,姜弦志SKWIN,男,6,互联网精神不灭！,16天前发布
141072941696,1,青烟笼罩旧城svip,保密,5,看到开源可不就得来个三连表示下,16天前发布
140702659472,1,撩妹部部长,保密,6,谢谢你！！！五年！你知道这五年我怎么过的吗？作为口腔医生的我，颌字被我用烂了，就是因为没有“牙合”！[打call],19天前发布
140698592000,1,waterball,保密,5,C5的世界杯片花也用了这个字体？,19天前发布
140696507344,1,留晨CCC,保密,5,致敬每一个无私奉献的开源者。,19天前发布
140689014736,1,大月球厨师,男,6,笑死，我公司就叫得意哈哈哈哈哈[喜极而泣][喜极而泣][喜极而泣],19天前发布
140679687824,1,给您送嫡女,保密,3,能用心做一款开源产品，实在太厉害了,19天前发布
140671054864,1,DivineWing,保密,5,今天偶然遇到“‍洺”这个字，结果在win10系统中得意黑字体显示有问题，在安卓端却没问题，不知道什么原因,19天前发布
140663727312,1,鱼的3322的声之谜,保密,6,呜呜呜，点击下载却出现“嗯……无法访问本页面”……,19天前发布
