rpid,点赞数量,用户,性别,等级,评论内容,发布时间
142891367728,110,TATPTNT,男,6,//www.bilibili.com/video/BV1bx411M7Zx?vd_source=cf308611bc0789661d84dd562a2564ea【【官方双语】深度学习之梯度下降法 Part 2 ver 0.9 beta】https://www.bilibili.com/video/BV1Ux411j7ri?vd_source=cf308611bc0789661d84dd562a2564ea【【官方双语】深度学习之反向传播算法 上/下 Part 3 ver 0.9 beta】https://www.bilibili.com/video/BV16x411V7Qg?vd_source=cf308611bc0789661d84dd562a2564ea,5天前发布
142891189360,35,我不是logicl,保密,6,刚在想要写一篇关于卷积的文章发博客，就发视频了，真不错（开始大抄特抄）[脱单doge],5天前发布
142904266176,25,Kerluce,保密,6,当初我们老师教我们平滑卷积的时候举的例子是在理想清晰的回声存在的情况下连续地说话，最后输出的声音就是一个自卷积的自然语言信号，总之要理解卷积以及后面的积分变换真的需要一些很生动的例子来帮助理解。,5天前发布
143047439712,2,Wufe8,保密,6,//www.bilibili.com/video/av635095985?p=6看不懂的话仔细多看几遍 就能理解为什么需要反转假设有一个LTI系统 接受一个信号f(t) 输出一个信号y(t)如果输入的是一个单位冲激函数u(t) 即t=0时极短极高的信号(除t=0外均为0  且积分等于1)那么系统输出的就是脉冲响应函数g(t) (当然对于信号系统这个情景的话更多会用h(t)来命名)可以想象下 输入一个信号 其每一刻都会和响应函数相乘 理解这句话就是关键例如第3秒的时候 第1秒的信号会和经过了多久的响应函数相乘? 是2秒前的信号 经过了2秒同理第t秒的时候 第t-tao秒的信号会和第tao秒的信号相乘那么就有式子 f(t-tao)g(tao) 代表第t-tao秒的信号在第t秒有什么样的输出 如果把所有时刻的响应都加起来 不就等于整个系统的输出了吗?因此对于离散系统 有y(t)=\sum_{n=-\inf}^{\inf} f(t-\tao) * g(tao)对于连续系统 有y(t)=\int_{-\inf}^{\inf} f(t-\tao) * g(tao)顺带一提 f和g 哪个代表输入哪个代表响应 其实对调了也一样 毕竟是相乘,4天前发布
142967603776,3,nbdlr,保密,5,时域卷积等于频域乘积，盲猜下一讲傅立叶变换。,5天前发布
142917487264,6,明不想要黑眼圈,男,2,我作为初三对3b1b出视频了感到欣慰[辣眼睛],5天前发布
143033524192,2,盛望love,保密,4,此时一位未来高考140+的同学赞了我,4天前发布
143066319456,3,Pharaoh_420,保密,4,所以FFT到底怎么做他还是没讲？,4天前发布
142896531184,75,幻想家协会会长,男,5,OIer 集合,5天前发布
142895511104,5,风起人归,保密,5,想起我的数学物理方法，看完之后脑子疼，阿巴阿巴[大哭],5天前发布
142986678976,2,花坂结い,女,5,你怎么知道我在学信号与系统,5天前发布
143605940864,1,兔奈川冲浪里,女,6,有个想法：对于动态视频的每个像素在时间轴上进行卷积操作会怎么样，难不成会让动作更加流畅一点[東雪蓮_嗯？],1天前发布
142898648480,19,橙汁TFT,男,5,他叫什么卷积卷什么？卷积行我懂了，他爸呢...（沉默）说话！我问你卷积爸呢,5天前发布
142892387024,10,现世白,男,5,OIer前来学习了,5天前发布
142898505040,19,幻想家协会会长,男,5,ACMer 集合[奥比岛_委屈][黑洞],5天前发布
142909774032,10,0001晕1000,女,6,10 直觉上来看，会不会与莫比乌斯环有关，假如我在环上行走，会依次经历123456654321...，然后在割线处割开，按照同样的方式交叠相乘再相加。但是这只是形式上不同，实际上卷积和莫比乌斯环有什么联系，我也不懂,5天前发布
