rpid,点赞数量,用户,性别,等级,评论内容,发布时间
143021489168,1,Klomorebi,男,6,python的话，最简单的加速方法就是用img2col把卷积转换成矩阵乘法，然后调用numpy进行加速。或者直接用pytorch或者taichi调用gpu,4天前发布
143071856096,0,变成盖塔线守护乐正绫,保密,6,pytorch怎么调用GPU细说,4天前发布
143114082784,1,老哥布林和老工匠,保密,5,问题的根本在于如果你用python写而且不调用里面以c为基础的运算库如np之类的，算下来就会很慢。或者你可以把你的代码转成c去用。,4天前发布
143114139424,1,老哥布林和老工匠,保密,5,而且大家和你说的意思也是直接用矩阵运算库去写这个算法，具体怎么算大家清楚的也不多[喜极而泣],4天前发布
143147612768,1,Klomorebi,男,6,官网有tutorial。把tensor放到cuda device里面调用torch写好的算子就行,4天前发布
142977408176,1,一只瞎起名的彬彬,保密,3,草,5天前发布
142977509616,2,一只瞎起名的彬彬,保密,3,[生气][生气][生气]就是你小子在另一个评论里不让用NTT是吧[生气][生气][生气],5天前发布
142917230992,0,放开控制,男,5,王老师的高徒,5天前发布
142894768784,0,HZ12I38,男,5,现代控制了解一下,5天前发布
142897130352,2,水寿--依然,男,5,同电子专业，这学期刚学了数字信号处理[灵魂出窍][灵魂出窍],5天前发布
142897335904,2,罪域轮回,保密,4,我才大一，开始慌了[灵魂出窍],5天前发布
142897618624,0,SandWitch,保密,5,电子基础课程捏,5天前发布
142897834976,0,yfhf3ciz485,保密,5,这么难，有什么用吗，我学马克思主义的,5天前发布
142903400464,0,LancasterLiu,保密,6,别怕真不难[笑哭],5天前发布
142905017136,0,触肢,保密,5, 方便你认知并用主观能动性改变世界[doge],5天前发布
142917846992,0,yfhf3ciz485,保密,5,观动性是什么梗[喜极而泣],5天前发布
142924352432,0,触肢,保密,5,主观能动性，这个不是马院的词吗[doge],5天前发布
142937478752,0,yfhf3ciz485,保密,5,不知道,5天前发布
142911718160,1,猜猜我的昵称是什么呀,保密,4,意义是什么呀,5天前发布
142913273008,5,olluo,保密,5,所以卷积的意义是什么[脱单doge],5天前发布
142923451312,7,aslandswintre,保密,6,是到码头卷点薯条（误）,5天前发布
142939178176,9,忧梦还故乡,男,5,过去的不仅影响过去，还影响现在;现在的不仅受现在影响，还受过去影响,5天前发布
142896338080,4,GotKiCry_懇,男,6,好了 一集还没消化完，又发现三集了,5天前发布
143004526048,15,Jatrine,女,6,什么量子波动速乘法,5天前发布
143108205456,6,captainkong,男,6,意义不大，无论是对于手算还是计算机计算。FFT涉及到复数的计算，复数在计算机中的计算时间是大于整形和普通浮点数的，这样只会得不偿失。至于手算，如果长度是2的正次方数还可以说画蝶形计算，如果不是这FFT的算法一下子就变得异常复杂。,4天前发布
143118201248,64,秋意子,男,6,原来这些东西真是小学二年级就学了，毕导他真的。,4天前发布
143269172000,1,蔡德仁,保密,5,10000位以上就快了。,3天前发布
143328769216,0,METEO陨星,保密,5,牛刀，不至于杀鸡,3天前发布
143361374176,10,kgb00018,男,6,这孩子，或许能抓去当显卡,2天前发布
143426276320,0,划零醇的Sunlight,男,5,那用数论变换代替FFT就行了，这样变换后也全是整数，且卷积定理依然成立[doge],2天前发布
143511424064,0,C8N16O32,保密,6,数论变换不太行，整数取模比浮点乘法还要慢很多，压位也挺折腾的，fft友好一些,1天前发布
143512056256,1,C8N16O32,保密,6,fft（以及数论变换）可以级联执行，比如1048576点可以拆成2轮1024个1024点fft。同一轮的1024个fft互不干扰，嫌1024点太大了可以再拆，这是非常有意义的优点,1天前发布
143716836224,0,captainkong,男,6,我是学工科的，还真没听过数论变换。长见识了,16小时前发布
143051789280,17,Misaka_Makoto,女,5,你是懂笔记的[doge],4天前发布
143087737808,14,_Tc_43,保密,5,好家伙，学起英语了，这就是大佬的余裕吗（惊）,4天前发布
143248032096,0,NetaP495L,保密,6,这啥玩意，翻译一堆对不上的,3天前发布
143275312304,5,CrossMywhy,男,6, 翻译没啥问题，是英语更本土化的表达,3天前发布
143519189216,1,自然-选择,保密,6,都翻译上了 至少保证了信达俗（通俗）[脱单doge],1天前发布
143802763360,0,自闭网友,保密,5,你甚至能在英语课上学到数学,17分钟前发布
142893115264,3,崝度,保密,4,aha aha,5天前发布
142894819360,3,西西弗斯1024,保密,5,恍然大明白,5天前发布
142895060560,63,狼的红苹果,保密,6,[妙啊]老实交代，你是来学数学的还是来学英语的,5天前发布
142895130256,22,高地亡,保密,5,这个只是一种形象的表达吧，就像用呕吐的动作表示反感，不能算个词汇吧[笑哭],5天前发布
142895635520,6,1_xl码,保密,5,那换个词，句子积累，懂了吧,5天前发布
142896995392,5,FigoTheO5-8,男,5,我们老师真教过我们这个词。应该是有一定使用基数的。,5天前发布
142897841056,13,没名字では,男,4,刚刚去查了一下，似乎还真有aha moment这个词组，表示“顿悟时刻”“豁然开朗”[妙啊],5天前发布
142898349488,1,韩丁fanshen,保密,5,拨云见日，茅塞顿开,5天前发布
142898998496,1,装B要从起名字开始,男,6,“查了一下”“似乎”“还真有”,5天前发布
142899390960,1,猜猜LST,男,3,30,5天前发布
142897616208,2,连躺三天,保密,6,我刚想了解一下来着[笑哭],5天前发布
142900180272,33,1024mg安眠药,保密,4,up一定是03年出生的[脱单doge],5天前发布
142900847152,20,555不知道起什么名字,女,5,那我就是你上一届的[眠眠兔_掉小珍珠]学完了，3b1b才出,5天前发布
