rpid,点赞数量,用户,性别,等级,评论内容,发布时间
138983673504,161,强力,保密,6,[笑哭]高斯：我当初没发表是因为没想到你们这群菜b这么久都没想明白该怎么弄,32天前发布
138946939312,105,dovisutu,保密,5,Gauss因为太过出名痛失Cooley-Tukey的命名权（[doge]）,32天前发布
141573330432,138,大李子PlumLee,保密,5,多少人在意内容，只在意建政说真的不喜欢长视频可以退出去看看其他的,14天前发布
139186647440,15,后现代骚人,保密,5,@二维傅里叶变换 来学习,30天前发布
139098574736,6,哪里不亮点哪里,保密,4,欧拉比高斯早出生六七十年，欧拉是数学英雄，高斯是数学王子，可以说欧拉算是成就了高斯吧。他们差不多像李白杜甫每个人都是一个时代由于高斯的性格问题，你看到许多公式与算法其实是他压箱底的东西[笑哭,31天前发布
139186647440,15,后现代骚人,保密,5,@二维傅里叶变换 来学习,30天前发布
138948581104,51,迪谟斯,保密,6,傅立叶或者更广泛的快速计算方法看似普通，但是其变化是很多的，应用更是很多，很少人能掌握全面。       傅立叶变换也是极少数从上学读书开始一直到工作中总有新理解的方法和分析思想。a powerful tool,32天前发布
139181292704,5,时间反演ぇ,保密,4,日常所说的傅里叶变换，应该包含了5种傅里叶变换，10个公式，及其数不清的衍生公式,30天前发布
138954608320,54,罗夏墨,保密,6,高斯先想出了算法，但没有计算机，这个方法的实用性又如何呢……？,32天前发布
138943752400,6,Helter_Skelter,男,6,傅里叶变换真是电子类专业的痛😣,32天前发布
139029167280,18,常鹏ConstPeng,保密,5,但是美国对于那些协议，那些公约，说退出就退出了，而其他国家如果没有技术积累，在美国退出后就是任人鱼肉。信用对于国家，同样有着巨大的作用。美国这个国家本身没有信用可言，那就没有办法别人对她的公约抱有信任。,31天前发布
138940583296,38,大家好我是毕同学,男,5,早上好啊考研人，今天也要努力学习啊[鼓掌],32天前发布
139968849568,4,雨终归情,男,6,又回想起考研手画FFT的场景了,25天前发布
139118609824,4,HiddenBush,男,6,捏麻麻的才写完4000字的傅立叶实验报告，我不想见到它,31天前发布
139032244544,18,DeluXeforeveR,男,6,数字信号处理集合了兄弟们,31天前发布
139024363776,4,丘子傲,男,5,看之前自己的理解是降低了人类的计算量，卷积不那么麻烦做了,31天前发布
139000907680,20,靓仔叁零肆,男,6,对这个最熟悉的应用就是混音的时候调eq😂,31天前发布
139594537232,72,REDCREST,男,5,笑死，前半部分说核弹弹幕一堆懂哥，真要说算法了弹幕全空了[给心心],28天前发布
140469843264,3,云淡风舒,男,6,曾经我认为数学书减去高斯还是正数，现在看来减去之后可能会变成负数,22天前发布
139002776992,3,bili_51253807102,保密,5,这种简单的小技巧对于高斯的成就来说确实不值一提。,31天前发布
